check_id;path;start_line;start_col;end_line;end_col;message;category;cwe;owasp;severity
project.semgrep-rules.misconfig.express-cookie-session-missing-attributes-v2;/project/repos/login-with/index.js;4;24;4;50;Default session middleware settings: `secure`, `path`, or `domain` not properly set. Review your session cookie configuration.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-missing-attributes-v2;/project/repos/node_passport_login/app.js;6;17;6;43;Default session middleware settings: `secure`, `path`, or `domain` not properly set. Review your session cookie configuration.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-missing-attributes-v2;/project/repos/pm2panel/pm2panel.js;22;15;22;41;Default session middleware settings: `secure`, `path`, or `domain` not properly set. Review your session cookie configuration.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-missing-attributes-v2;/project/repos/shadowsocks-manager/plugins/freeAccount/index.js;188;17;188;43;Default session middleware settings: `secure`, `path`, or `domain` not properly set. Review your session cookie configuration.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-missing-attributes-v2;/project/repos/shadowsocks-manager/plugins/webgui/index.js;10;17;10;43;Default session middleware settings: `secure`, `path`, or `domain` not properly set. Review your session cookie configuration.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-missing-attributes-v2;/project/repos/stf/lib/units/api/index.js;12;21;12;46;Default session middleware settings: `secure`, `path`, or `domain` not properly set. Review your session cookie configuration.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-missing-attributes-v2;/project/repos/stf/lib/units/app/index.js;7;21;7;46;Default session middleware settings: `secure`, `path`, or `domain` not properly set. Review your session cookie configuration.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-missing-attributes-v2;/project/repos/stf/lib/units/auth/ldap.js;9;21;9;46;Default session middleware settings: `secure`, `path`, or `domain` not properly set. Review your session cookie configuration.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-missing-attributes-v2;/project/repos/stf/lib/units/auth/mock.js;9;21;9;46;Default session middleware settings: `secure`, `path`, or `domain` not properly set. Review your session cookie configuration.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-missing-attributes-v2;/project/repos/stf/lib/units/websocket/middleware/cookie-session.js;1;21;1;46;Default session middleware settings: `secure`, `path`, or `domain` not properly set. Review your session cookie configuration.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-default-name;/project/repos/login-with/index.js;36;9;43;3;DonΓÇÖt use the default session cookie name Using the default session cookie name can open your app to attacks. The security issue posed is similar to X-Powered-By: a potential attacker can use it to fingerprint the server and target attacks accordingly.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-default-name;/project/repos/node_passport_login/app.js;34;3;38;5;DonΓÇÖt use the default session cookie name Using the default session cookie name can open your app to attacks. The security issue posed is similar to X-Powered-By: a potential attacker can use it to fingerprint the server and target attacks accordingly.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-default-name;/project/repos/pm2panel/pm2panel.js;25;9;25;74;DonΓÇÖt use the default session cookie name Using the default session cookie name can open your app to attacks. The security issue posed is similar to X-Powered-By: a potential attacker can use it to fingerprint the server and target attacks accordingly.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-default-name;/project/repos/shadowsocks-manager/plugins/freeAccount/index.js;189;23;195;3;DonΓÇÖt use the default session cookie name Using the default session cookie name can open your app to attacks. The security issue posed is similar to X-Powered-By: a potential attacker can use it to fingerprint the server and target attacks accordingly.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-default-name;/project/repos/shadowsocks-manager/plugins/webgui/index.js;14;23;21;3;DonΓÇÖt use the default session cookie name Using the default session cookie name can open your app to attacks. The security issue posed is similar to X-Powered-By: a potential attacker can use it to fingerprint the server and target attacks accordingly.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
project.semgrep-rules.misconfig.express-cookie-session-default-name;/project/repos/stf/lib/units/websocket/middleware/cookie-session.js;4;17;4;39;DonΓÇÖt use the default session cookie name Using the default session cookie name can open your app to attacks. The security issue posed is similar to X-Powered-By: a potential attacker can use it to fingerprint the server and target attacks accordingly.;security;['CWE-522: Insufficiently Protected Credentials'];['A02:2017 - Broken Authentication', 'A04:2021 - Insecure Design'];WARNING
